0,00;-0,08
0,02;0,00
0,04;0,08
0,06;0,08
0,08;0,08
0,10;0,08
0,12;0,16
0,14;0,16
0,16;0,16
0,18;0,16
0,20;0,24
0,22;0,24
0,24;0,24
0,26;0,24
0,28;0,24
0,30;0,32
0,32;0,32
0,34;0,40
0,36;0,40
0,38;0,40
0,40;0,40
0,42;0,40
0,44;0,48
0,46;0,48
0,48;0,48
0,50;0,48
0,52;0,56
0,54;0,56
0,56;0,56
0,58;0,56
0,60;0,64
0,62;0,64
0,64;0,64
0,66;0,72
0,68;0,72
0,70;0,72
0,72;0,80
0,74;0,80
0,76;0,80
0,78;0,80
0,80;0,80
0,82;0,88
0,84;0,88
0,86;0,88
0,88;0,88
0,90;0,96
0,92;0,96
0,94;1,04
0,96;1,04
0,98;1,04
1,00;1,04
1,02;1,04
1,04;1,12
1,06;1,12
1,08;1,12
1,10;1,12
1,12;1,12
1,14;1,20
1,16;1,20
1,18;1,20
1,20;1,28
1,22;1,28
1,24;1,28
1,26;1,36
1,28;1,36
1,30;1,36
1,32;1,36
1,34;1,44
1,36;1,44
1,38;1,44
1,40;1,44
1,42;1,44
1,44;1,52
1,46;1,52
1,48;1,52
1,50;1,52
1,52;1,60
1,54;1,60
1,56;1,60
1,58;1,68
1,60;1,68
1,62;1,68
1,64;1,68
1,66;1,76
1,68;1,76
1,70;1,76
1,72;1,76
1,74;1,84
1,76;1,84
1,78;1,84
1,80;1,92
1,82;1,92
1,84;1,92
1,86;2,00
1,88;2,00
1,90;2,00
1,92;2,00
1,94;2,08
1,96;2,08
1,98;2,08
2,00;2,08
2,02;2,08
2,04;2,16
2,06;2,16
2,08;2,16
2,10;2,24
2,12;2,24
2,14;2,24
2,16;2,24
2,18;2,24
2,20;2,32
2,22;2,32
2,24;2,32
2,26;2,40
2,28;2,40
2,30;2,40
2,32;2,40
2,34;2,48
2,36;2,48
2,38;2,48
2,40;2,56
2,42;2,56
2,44;2,56
2,46;2,64
2,48;2,64
2,50;2,64
2,52;2,64
2,54;2,72
2,56;2,72
2,58;2,72
2,60;2,72
2,62;2,72
2,64;2,72
2,66;2,80
2,68;2,80
2,70;2,88
2,72;2,88
2,74;2,88
2,76;2,88
2,78;2,96
2,80;2,96
2,82;2,96
2,84;2,96
2,86;3,04
2,88;3,04
2,90;3,04
2,92;3,04
2,94;3,12
2,96;3,12
2,98;3,12
3,00;3,20
3,02;3,20
3,04;3,20
3,06;3,20
3,08;3,20
3,10;3,28
3,12;3,28
3,14;3,28
3,16;3,36
3,18;3,36
3,20;3,36
3,22;3,36
3,24;3,36
3,26;3,44
3,28;3,44
3,30;3,44
3,32;3,52
3,34;3,52
3,36;3,52
3,38;3,60
3,40;3,60
3,42;3,60
3,44;3,60
3,46;3,68
3,48;3,68
3,50;3,68
3,52;3,68
3,54;3,68
3,56;3,76
3,58;3,76
3,60;3,76
3,62;3,76
3,64;3,84
3,66;3,84
3,68;3,84
3,70;3,92
3,72;3,92
3,74;3,92
3,76;3,92
3,78;3,92
3,80;4,00
3,82;4,00
3,84;4,00
